Resort Name,Package Title,Longitude,Latitude,Has Valid Coordinates,Source,Price,Link
"MIMPI Perhentian Resort","",102.7230018,5.9214587,true,"resortlocations","",""
"Perhentian Island Resort","",102.7432174,5.9025828,true,"resortlocations","",""
"The Barat Perhentian","",102.7392473,5.9007076,true,"resortlocations","",""
"Coral View Island Resort","",102.7396239,5.902128,true,"resortlocations","",""
"Senja Bay Resort","",102.7169061,5.9122767,true,"resortlocations","",""
"Ombak Dive Resort","",102.7169863,5.9150505,true,"resortlocations","",""
"Shari-la Island Resort","",102.7162544,5.9152695,true,"resortlocations","",""
"Cocohut Long Beach Resort","",102.7205338,5.9189479,true,"resortlocations","",""
"Alunan Resort","",102.7227115,5.8951106,true,"resortlocations","",""
"Arwana Perhentian Resort","",102.7508136,5.8949915,true,"resortlocations","",""
"Flora Bay Chalet","",102.7460122,5.8907596,true,"resortlocations","",""
"Samudra Beach Chalet","",102.7497951,5.8939709,true,"resortlocations","",""
"Mimpi Perhentian Resort","",102.7230018,5.9214587,true,"resortlocations","",""
"Barat Beach Resort","",102.7392473,5.9007076,true,"resortlocations","",""
"The Barat Beach Resort","",102.7392473,5.9007076,true,"resortlocations","",""
"The Cocohut Resort","",102.7205338,5.9189479,true,"resortlocations","",""
"Flora Bay Resort","",102.7460122,5.8907596,true,"resortlocations","",""
"Alunan Resort , Kecil","",102.7227115,5.8951106,true,"resortlocations","",""
"Arwana Resort","",102.7508136,5.8949915,true,"resortlocations","",""
"Barat Tioman Resort","",102.7392473,5.9007076,true,"resortlocations","",""
"Coral View Island Resort","3D2N Coral View Island Resort (Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 500","https://www.amitravel.my/package-pakej/3d2n-coral-view-island-resort-snorkeling-package-pulau-perhentian/"
"Senja Bay Resort","3D2N Senja Bay Resort (Fullboard Snorkeling Package), Pulau Perhentian",0,0,false,"amitravel","RM 230","https://www.amitravel.my/package-pakej/3d2n-senja-bay-resort-fullboard-snorkeling-package-pulau-perhentian/"
