Resort Name,Package Title,Longitude,Latitude,Has Valid Coordinates,Source,Price,Link
"The Taaras Beach & Spa Resort","",103.0143661,5.7846899,true,"resortlocations","",""
"Laguna Redang Island Resort","",103.0324755,5.7706768,true,"resortlocations","",""
"Redang Beach Resort","",103.0330102,5.7722646,true,"resortlocations","",""
"Coral Redang Island Resort","",103.0327967,5.7759144,true,"resortlocations","",""
"Redang Bay Resort","",103.0333031,5.7737296,true,"resortlocations","",""
"Redang Holiday Beach Resort","",103.0338177,5.7778407,true,"resortlocations","",""
"Redang Reef Resort","",103.0337291,5.7695547,true,"resortlocations","",""
"Sari Pacifica Resort & Spa Redang Island","",103.0327148,5.77634,true,"resortlocations","",""
"Taaras Beach Resort","",103.0143661,5.7846899,true,"resortlocations","",""
"Laguna Redang Resort","",103.0324755,5.7706768,true,"resortlocations","",""
"Coral Resort","",103.0327967,5.7759144,true,"resortlocations","",""
"Redang Holiday Beach Villa","",103.0338177,5.7778407,true,"resortlocations","",""
"Sari Pacifica Beach Resort & Spa","",103.0327148,5.77634,true,"resortlocations","",""
"Redang Laguna Resort","(2025 Promo) 3d2n Redang Laguna Resort Snorkeling Package",103.032145,5.771234,true,"holidaygogogopackages","RM 528","https://www.holidaygogogo.com/3d2n-redang-snorkeling-package-redang-laguna/"
"Laguna Redang Resort","(2025 Promo) 2d1n Redang Laguna Resort Snorkeling Package",103.032476,5.770677,true,"holidaygogogopackages","RM 388","https://www.holidaygogogo.com/2d1n-redang-laguna-snorkeling-package/"
"Laguna Redang Resort","(2025 Promo) 3d2n Redang Laguna Resort Scuba Diving Package",103.032476,5.770677,true,"holidaygogogopackages","RM 908","https://www.holidaygogogo.com/3d2n-redang-diving-package-redang-laguna/"
"Laguna Redang Resort","(2025 Promo) 4d3n Redang Laguna Resort Snorkeling Package",103.032476,5.770677,true,"holidaygogogopackages","RM 766","https://www.holidaygogogo.com/4d3n-redang-laguna-snorkeling-package/"
"Laguna Redang Resort","(2025 Promo) 3d2n Redang Laguna Honeymoon Package",103.032476,5.770677,true,"holidaygogogopackages","RM 1,076","https://www.holidaygogogo.com/3d2n-redang-laguna-honeymoon-package/"
"Laguna Redang Resort","(2025 Promo) 3d2n Redang Laguna Resort Yoga Retreat Package",103.032476,5.770677,true,"holidaygogogopackages","RM 528","https://www.holidaygogogo.com/3d2n-redang-laguna-resort-yoga-retreat-package/"
