Resort Name,Package Title,Longitude,Latitude,Has Valid Coordinates,Source,Price,Link
"Aman Tioman Beach Resort","",104.1197587,2.7847842,true,"resortlocations","",""
"Berjaya Tioman Resort","",104.14241,2.808208,true,"resortlocations","",""
"Paya Beach Spa & Dive Resort","",104.1207885,2.7868075,true,"resortlocations","",""
"Tunamaya Beach & Spa Resort","",104.1526641,2.7202007,true,"resortlocations","",""
"Sun Beach Resort","",104.1227795,2.7621352,true,"resortlocations","",""
"Dumba Bay Resort","",104.1221032,2.7654098,true,"resortlocations","",""
"Salang Indah Tioman","",104.1548794,2.8765691,true,"resortlocations","",""
"Juara Mutiara Resort","",104.2033431,2.7951857,true,"resortlocations","",""
"Salang Pusaka Resort","",104.1543731,2.8751854,true,"resortlocations","",""
"Panuba Inn Resort","",104.1556893,2.8498934,true,"resortlocations","",""
"Damai Tioman Resort","",104.1223327,2.7639704,true,"resortlocations","",""
"Sun Beach Resort , Kampung Genting","",104.1227795,2.7621352,true,"resortlocations","",""
"Sun Beach Resort Kampung Genting","",104.1227795,2.7621352,true,"resortlocations","",""
"Paya Beach Resort","",104.1207885,2.7868075,true,"resortlocations","",""
"Tunamaya Beach Resort","",104.1526641,2.7202007,true,"resortlocations","",""
"Salang Indah","",104.1548794,2.8765691,true,"resortlocations","",""
"Juara Mutiara Resort","4D3N Juara Mutiara Resort (Snorkeling Package), Pulau Tioman",0,0,false,"amitravel","RM 700","https://www.amitravel.my/package-pakej/4d3n-juara-mutiara-resort-snorkeling-package-pulau-tioman/"
"Juara Mutiara Resort","3D2N Juara Mutiara Resort (Snorkeling Package), Pulau Tioman",0,0,false,"amitravel","RM 550","https://www.amitravel.my/package-pakej/3d2n-juara-mutiara-resort-snorkeling-package-pulau-tioman/"
"Aman Tioman Beach Resort","3D2N Aman Tioman Beach Resort (Advance Open Water Package), Pulau Tioman",0,0,false,"amitravel","RM 1896","https://www.amitravel.my/package-pakej/3d2n-aman-tioman-beach-resort-advance-open-water-package-pulau-tioman/"
"Aman Tioman Beach Resort","3D2N Aman Tioman Beach Resort (Honeymoon Package), Pulau Tioman",0,0,false,"amitravel","RM 990","https://www.amitravel.my/package-pakej/3d2n-aman-tioman-beach-resort-honeymoon-package-pulau-tioman/"
"Aman Tioman Beach Resort","4D3N Aman Tioman Beach Resort (Snorkeling Package), Pulau Tioman",0,0,false,"amitravel","RM 900","https://www.amitravel.my/package-pakej/4d3n-aman-tioman-beach-resort-snorkeling-package-pulau-tioman/"
"Aman Tioman Beach Resort","4D3N Aman Tioman Beach Resort (Dive Course Package), Pulau Tioman",0,0,false,"amitravel","RM 1320","https://www.amitravel.my/package-pakej/4d3n-aman-tioman-beach-resort-dive-course-package-pulau-tioman/"
"Dumba Bay Resort","2D1N Dumba Bay Resort (Relaxing Package), Pulau Tioman",0,0,false,"amitravel","RM 336","https://www.amitravel.my/package-pakej/2d1n-dumba-bay-resort-relaxing-package-pulau-tioman/"
"Tunamaya Beach & Spa Resort","3D2N Relax at Tunamaya Beach & Spa Resort, Pulau Tioman",0,0,false,"amitravel","RM 2026","https://www.amitravel.my/package-pakej/3d2n-relax-at-tunamaya-beach-spa-resort-pulau-tioman/"
"Bayu Tioman Chalet","4D3N Snorkeling Package at Bayu Tioman Chalet, Pulau Tioman",0,0,false,"amitravel","RM 564","https://www.amitravel.my/package-pakej/4d3n-snorkeling-package-bayu-tioman-chalet-pulau-tioman/"
"Tamara Resort Kampung Juara","3D2N Tamara Resort (Free & Easy) Kampung Juara, Pulau Tioman",0,0,false,"amitravel","RM 198","https://www.amitravel.my/package-pakej/3d2n-free-easy-tamara-resort-pulau-tioman/"
"Amazing Tamara Resort Kampung Juara","4D3N Amazing Tamara Resort Kampung Juara, Pulau Tioman",0,0,false,"amitravel","RM 652","https://www.amitravel.my/package-pakej/4d3n-amazing-tamara-resort-pulau-tioman/"
"Tamara Resort Kampung Juara","3D2N Tamara Resort Kampung Juara, Pulau Tioman",0,0,false,"amitravel","RM 522","https://www.amitravel.my/package-pakej/3d2n-tamara-resort-pulau-tioman/"
"The Barat Tioman Beach Resort","4D3N Snorkeling Package at The Barat Tioman Beach Resort",0,0,false,"amitravel","RM 891","https://www.amitravel.my/package-pakej/4d3n-snorkeling-package-at-the-barat-tioman-beach-resort/"
"Tamara Resort Kampung Juara","3D2N Tamara Resort (Honeymoon) Kampung Juara, Pulau Tioman",0,0,false,"amitravel","RM 822","https://www.amitravel.my/package-pakej/3d2n-honeymoon-at-tamara-resort-pulau-tioman/"
"Tamara Resort Kampung Juara","4D3N Tamara Resort (Honeymoon) Kampung Juara, Pulau Tioman",0,0,false,"amitravel","RM 1002","https://www.amitravel.my/package-pakej/4d3n-honeymoon-at-tamara-resort-pulau-tioman/"
"Tamara Resort Kampung Juara","4D3N Tamara Resort (Team Building) Kampung Juara, Pulau Tioman",0,0,false,"amitravel","RM 682","https://www.amitravel.my/package-pakej/4d3n-tamara-resort-pulau-tioman-team-building/"
"Tamara Resort Kampung Juara","3D2N Tamara Resort (Team Building) Kampung Juara, Pulau Tioman",0,0,false,"amitravel","RM 552","https://www.amitravel.my/package-pakej/3d2n-tamara-resort-pulau-tioman-team-building/"
"Tamara Resort Kampung Juara","3D2N Tamara Resort (Full House Team Building) Kampung Juara, Pulau Tioman",0,0,false,"amitravel","RM 510","https://www.amitravel.my/package-pakej/3d2n-full-house-team-building-at-tamara-resort-pulau-tioman/"
"Tunamaya Beach & Spa Resort","3D2N Tunamaya Beach & Spa Resort, Pulau Tioman",0,0,false,"amitravel","RM 1786","https://www.amitravel.my/package-pakej/3d2n-tunamaya-beach-spa-resort-pulau-tioman/"
"Tunamaya Beach & Spa Resort","3D2N Tunamaya Beach & Spa Resort (Honeymoon), Pulau Tioman",0,0,false,"amitravel","RM 4426","https://www.amitravel.my/package-pakej/3d2n-tunamaya-beach-spa-resort-honeymoon-pulau-tioman/"
